circuit,seed,sample_index,adp_reduction_pct,vtr_success,aspect_ratio,area_mwta,delay_ns,power_w,adp,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
arm_core,42,6,-47.973200714231076,True,0.8,12348400.0,18.564,0.07403,16970318.693328,390.18,False,37,46,[],"[[12, 4], [14, 3], [1, 5], [27, 1], [2, 9], [7, 20], [27, 17], [9, 6], [1, 11], [15, 14], [35, 23], [17, 16], [11, 4], [6, 7], [11, 29], [13, 9], [21, 16], [19, 6], [31, 7], [8, 10], [5, 2], [35, 15], [8, 24], [17, 7]]"
arm_core,42,4,-42.83905103162264,True,0.9,11892700.0,19.4307,0.07089,16381508.3147421,421.04,False,37,41,[],"[[20, 17], [5, 12], [21, 16], [31, 12], [14, 8], [16, 29], [11, 1], [5, 30], [1, 2], [35, 9], [9, 25], [8, 18], [12, 2], [14, 27], [1, 28], [9, 5], [17, 19], [3, 8], [18, 14], [20, 3], [31, 28], [13, 26], [33, 21], [12, 15]]"
mkDelayWorker32B,123,1,-29.644640412653363,True,0.9,8007520.0,8.90485,0.1541,10988218.3051352,50.22,False,50,56,[],"[[13, 8], [38, 36], [20, 1], [9, 3], [8, 16], [45, 22], [6, 15], [7, 34], [18, 13], [14, 13], [44, 17], [39, 10], [26, 28], [3, 10], [18, 6], [43, 34], [10, 33], [24, 17], [8, 42], [13, 2], [46, 15], [1, 17], [11, 39], [9, 13], [28, 6], [7, 9], [34, 11], [44, 43], [37, 8], [29, 23], [4, 42], [7, 23], [40, 38], [4, 29], [39, 23], [25, 16], [32, 5], [48, 26], [47, 20], [29, 30], [32, 35], [32, 16], [15, 40]]"
softmax,42,1,8.010666138315067,True,0.9,7251290.0,6.52817,0.06954,3291860.447984922,296.53,False,36,40,"[[29, 4], [2, 27], [11, 4], [21, 1], [25, 35], [7, 20], [21, 16], [10, 7]]",[]
mkDelayWorker32B,123,3,-12.226208452909475,True,0.9,7064600.0,8.1601,0.165,9511894.005900001,52.57,False,50,56,[],"[[8, 34], [7, 18], [16, 12], [21, 5], [31, 39], [40, 29], [43, 25], [14, 6], [39, 17], [23, 33], [33, 14], [48, 24], [18, 2], [37, 38], [9, 6], [17, 8], [35, 22], [17, 25], [9, 18], [34, 37], [12, 5], [43, 32], [44, 8], [41, 38], [6, 17], [15, 2], [31, 11], [3, 33], [38, 43], [17, 31], [20, 25], [3, 18], [8, 13], [11, 8], [43, 40], [13, 2], [3, 25], [16, 41], [20, 13], [32, 6], [18, 25], [30, 6], [31, 31]]"
mkDelayWorker32B,123,4,-4.567241308806521,True,0.9,6642170.0,9.31134,0.1433,8862747.20967774,46.52,False,48,53,[],"[[7, 42], [15, 18], [23, 15], [14, 8], [44, 7], [10, 6], [16, 20], [38, 24], [18, 7], [5, 6], [21, 7], [10, 38], [33, 40], [1, 19], [11, 4], [7, 18], [10, 12], [46, 35], [36, 19], [39, 24], [19, 15], [28, 28], [41, 41], [25, 11], [12, 5], [44, 30], [11, 16], [1, 43], [5, 36], [19, 9], [29, 12], [45, 24], [15, 30], [24, 27], [9, 15], [29, 19], [22, 33], [36, 4], [35, 38], [17, 14], [22, 10], [37, 20], [18, 13]]"
lightweight_cipher,123,0,27.099809001989822,True,0.8,352537.0,3.60373,0.02041,25929.847007034103,3.81,False,10,13,[],"[[8, 1], [6, 3], [3, 4]]"
mkDelayWorker32B,123,5,-14.380640904951097,True,0.9,7064570.0,8.87626,0.1546,9694496.032727718,52.88,False,50,56,[],"[[5, 37], [6, 20], [34, 18], [4, 12], [20, 23], [45, 26], [15, 16], [8, 35], [11, 19], [48, 4], [6, 36], [29, 29], [16, 43], [12, 11], [45, 41], [30, 38], [30, 29], [18, 2], [19, 9], [19, 34], [43, 40], [24, 3], [24, 22], [46, 3], [7, 16], [14, 10], [5, 26], [26, 38], [31, 22], [6, 13], [40, 5], [15, 3], [41, 17], [10, 5], [44, 14], [16, 36], [21, 25], [15, 32], [32, 41], [37, 28], [39, 30], [35, 36], [33, 22]]"
lightweight_cipher,123,1,30.641384761144348,True,0.8,335854.0,3.59193,0.02045,24670.144990599,5.21,False,10,13,[],"[[2, 3], [5, 4], [8, 3]]"
lightweight_cipher,123,3,30.252366895072335,True,0.8,336223.0,3.6582,0.02017,24808.514638362,3.44,False,10,13,[],"[[2, 3], [5, 4], [6, 6]]"
