circuit,split,seed,baseline_area_mwta,baseline_delay_ns,baseline_power_w,baseline_adp,policy_area_mwta,policy_delay_ns,policy_power_w,policy_adp,adp_reduction_pct,policy_aspect_ratio,policy_grid_w,policy_grid_h,baseline_grid_w,baseline_grid_h,how_obtained,source
diffeq2,train,7,666210.0,17.948,0.007747,92631.94095876001,305477.0,17.2433,0.005568,29329.0588932288,68.33807152298992,0.8,8,10,16,16,best_during_training,best_layout_coordinates_diffeq2_multi11_long_seed7.txt; baselines/diffeq2_traditional_metric.txt; baselines/diffeq2_traditional_resources.txt (fpga_size+2 IO ring)
diffeq2,train,42,666210.0,17.948,0.007747,92631.94095876001,305441.0,17.7585,0.005424,29420.719767864004,68.23911982912871,0.8,8,10,16,16,best_during_training,best_layout_coordinates_diffeq2_multi11_long_seed42_v2.txt; baselines/diffeq2_traditional_metric.txt; baselines/diffeq2_traditional_resources.txt (fpga_size+2 IO ring)
diffeq2,train,123,666210.0,17.948,0.007747,92631.94095876001,300079.0,17.163,0.005562,28645.723187874002,69.07576059468823,0.8,8,10,16,16,best_during_training,best_layout_coordinates_diffeq2_multi11_long_seed123.txt; baselines/diffeq2_traditional_metric.txt; baselines/diffeq2_traditional_resources.txt (fpga_size+2 IO ring)
raygentop,train,7,1227270.0,5.63239,0.02564,177235.558378692,1234250.0,5.33757,0.02748,181035.37582830002,-2.143936287033958,1.0,19,19,19,19,best_during_training,best_layout_coordinates_raygentop_multi11_long_seed7.txt; baselines/raygentop_traditional_metric.txt; baselines/raygentop_traditional_resources.txt (fpga_size+2 IO ring)
raygentop,train,42,1227270.0,5.63239,0.02564,177235.558378692,1230680.0,5.51427,0.02656,180244.17590361598,-1.6975247813960668,0.9,18,20,19,19,best_during_training,best_layout_coordinates_raygentop_multi11_long_seed42_v2.txt; baselines/raygentop_traditional_metric.txt; baselines/raygentop_traditional_resources.txt (fpga_size+2 IO ring)
raygentop,train,123,1227270.0,5.63239,0.02564,177235.558378692,1234780.0,5.30903,0.02763,181128.024671742,-2.196210697592145,1.0,19,19,19,19,best_during_training,best_layout_coordinates_raygentop_multi11_long_seed123.txt; baselines/raygentop_traditional_metric.txt; baselines/raygentop_traditional_resources.txt (fpga_size+2 IO ring)
mkSMAdapter4B,train,7,1129640.0,5.46391,0.02933,181032.130406092,806902.0,5.36195,0.02724,117855.71719323602,34.89790076001337,1.1,17,15,20,20,best_during_training,best_layout_coordinates_mkSMAdapter4B_multi11_long_seed7.txt; baselines/mkSMAdapter4B_traditional_metric.txt; baselines/mkSMAdapter4B_traditional_resources.txt (fpga_size+2 IO ring)
mkSMAdapter4B,train,42,1129640.0,5.46391,0.02933,181032.130406092,807366.0,5.1499,0.02808,116752.544908272,35.507280035664266,0.9,15,17,20,20,best_during_training,best_layout_coordinates_mkSMAdapter4B_multi11_long_seed42_v2.txt; baselines/mkSMAdapter4B_traditional_metric.txt; baselines/mkSMAdapter4B_traditional_resources.txt (fpga_size+2 IO ring)
mkSMAdapter4B,train,123,1129640.0,5.46391,0.02933,181032.130406092,800819.0,5.10848,0.02805,114751.648055616,36.61255170659229,0.7,13,19,20,20,best_during_training,best_layout_coordinates_mkSMAdapter4B_multi11_long_seed123.txt; baselines/mkSMAdapter4B_traditional_metric.txt; baselines/mkSMAdapter4B_traditional_resources.txt (fpga_size+2 IO ring)
or1200,train,7,3455880.0,13.7171,0.02352,1114957.40440896,3424330.0,13.3709,0.02295,1050797.2832311501,5.754490792571679,0.3,13,43,27,27,best_during_training,best_layout_coordinates_or1200_multi11_long_seed7.txt; baselines/or1200_traditional_metric.txt; baselines/or1200_traditional_resources.txt (fpga_size+2 IO ring)
or1200,train,42,3455880.0,13.7171,0.02352,1114957.40440896,2731100.0,13.7053,0.01981,741499.0930823,33.49529855130479,0.2,9,45,27,27,best_during_training,best_layout_coordinates_or1200_multi11_long_seed42_v2.txt; baselines/or1200_traditional_metric.txt; baselines/or1200_traditional_resources.txt (fpga_size+2 IO ring)
