circuit,seed,vtr_call_index,best_so_far_adp_reduction_pct
custom_macbuf,7,8,28.146433430035867
custom_macbuf,7,24,36.21401476248626
custom_macbuf,7,56,48.04318143999296
custom_macbuf,7,96,48.093180817259906
custom_macbuf,7,160,53.64440900343078
custom_macbuf,7,232,53.6640108628454
custom_macbuf,7,328,53.7979332226009
custom_macbuf,7,376,54.27795379772849
custom_macbuf,7,400,60.79814816807424
custom_macbuf,7,800,60.79814816807424
custom_macbuf,42,8,-44.849294631504435
custom_macbuf,42,16,8.301573040753825
custom_macbuf,42,24,13.084183427678342
custom_macbuf,42,32,43.050257111733124
custom_macbuf,42,80,58.80267082753413
custom_macbuf,42,88,62.75548073585373
custom_macbuf,42,424,67.99656637281363
custom_macbuf,42,824,67.99656637281363
custom_macbuf,123,8,61.14868641224207
custom_macbuf,123,160,67.1843953218271
custom_macbuf,123,560,67.1843953218271
mkDelayWorker32B,7,8,-2.902715854351864
mkDelayWorker32B,7,16,8.303971252238824
mkDelayWorker32B,7,24,10.425977266867843
mkDelayWorker32B,7,160,12.73571714743541
mkDelayWorker32B,7,200,13.693630884412944
mkDelayWorker32B,7,256,22.635566997718584
mkDelayWorker32B,7,656,22.635566997718584
mkDelayWorker32B,42,8,-82.92563614885474
mkDelayWorker32B,42,16,8.154569801619656
mkDelayWorker32B,42,24,8.555899800612151
mkDelayWorker32B,42,32,8.87763798415272
mkDelayWorker32B,42,40,12.714075954748338
mkDelayWorker32B,42,384,13.087340794981703
mkDelayWorker32B,42,616,14.864107324234036
mkDelayWorker32B,42,1016,14.864107324234036
mkDelayWorker32B,123,8,-11.94255163258779
mkDelayWorker32B,123,16,8.703947931500196
mkDelayWorker32B,123,32,10.836661257922165
mkDelayWorker32B,123,64,13.97816162907489
mkDelayWorker32B,123,168,16.258011928713863
mkDelayWorker32B,123,568,16.258011928713863
lightweight_cipher,7,8,3.3254023215738657
lightweight_cipher,7,16,33.83386244173378
lightweight_cipher,7,24,37.33445850398687
lightweight_cipher,7,224,39.605067441491045
lightweight_cipher,7,304,43.627605183555374
lightweight_cipher,7,704,43.627605183555374
lightweight_cipher,42,8,28.215985637684664
lightweight_cipher,42,40,34.17334384098574
lightweight_cipher,42,72,43.18408959964981
lightweight_cipher,42,472,43.18408959964981
lightweight_cipher,123,8,11.030030263781876
lightweight_cipher,123,16,25.697022236430318
lightweight_cipher,123,40,34.13540489379132
lightweight_cipher,123,104,37.987927326502366
lightweight_cipher,123,144,39.62872013779611
lightweight_cipher,123,152,45.58975724228345
lightweight_cipher,123,552,45.58975724228345
reduction_layer,7,8,-25.681659610491074
reduction_layer,7,16,-10.511060269320595
reduction_layer,7,32,-5.324121506015027
reduction_layer,7,80,-0.5648332662542165
reduction_layer,7,136,2.9607723713493614
reduction_layer,7,208,5.7808818446073555
reduction_layer,7,312,6.019546107052796
reduction_layer,7,712,6.019546107052796
reduction_layer,42,8,-132.50869007839776
reduction_layer,42,16,-7.248117694106517
reduction_layer,42,40,-3.0906618275575424
reduction_layer,42,56,-1.7021383775884147
reduction_layer,42,64,-1.5257991403064421
reduction_layer,42,128,4.43484766241457
reduction_layer,42,296,6.7032244691922465
reduction_layer,42,488,7.467353696756746
reduction_layer,42,888,7.467353696756746
reduction_layer,123,8,-26.67594120580197
reduction_layer,123,16,-8.393574529801597
reduction_layer,123,32,3.4140256587004316
reduction_layer,123,40,6.911365688182129
reduction_layer,123,192,8.068058575343004
reduction_layer,123,592,8.068058575343004
arm_core,7,8,-19.25753241966458
arm_core,7,16,-1.151179211320688
arm_core,7,24,0.9342399272535649
arm_core,7,104,2.751704844493748
arm_core,7,112,2.91803664097072
arm_core,7,208,6.123983478007457
arm_core,7,264,6.430842536745747
arm_core,7,336,8.720584981337531
arm_core,7,464,9.990321200606928
arm_core,7,576,11.91537024750253
arm_core,7,712,14.489043771343676
arm_core,7,720,17.200184482804527
arm_core,7,1120,17.200184482804527
arm_core,42,8,-10.226976376968958
arm_core,42,16,-6.610080750952924
arm_core,42,24,15.775384292529395
arm_core,42,424,15.775384292529395
arm_core,123,8,-36.65968636388966
arm_core,123,16,-8.12357333183485
arm_core,123,24,-7.4544071686764495
arm_core,123,32,0.24491821366002925
arm_core,123,48,7.487641737454975
arm_core,123,56,15.174057248137737
arm_core,123,104,16.067952273233153
arm_core,123,264,20.66983011154892
arm_core,123,664,20.66983011154892
softmax,7,8,10.442023073720193
softmax,7,16,11.562990524737247
softmax,7,40,12.825949130568775
softmax,7,88,16.10745207641125
softmax,7,488,16.10745207641125
softmax,42,8,-11.678768775499893
softmax,42,16,-6.279007897683911
softmax,42,32,10.107771880909532
softmax,42,64,12.600827634624029
softmax,42,320,13.351721806642855
softmax,42,440,16.573696021449848
softmax,42,840,16.573696021449848
softmax,123,8,11.573639761558855
softmax,123,320,12.967867050508458
softmax,123,480,13.64334310921972
softmax,123,624,14.162405454298005
softmax,123,1024,14.162405454298005
