circuit,seed,sample_index,aspect_ratio,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,grid_w,grid_h,dsp_coords,bram_coords
custom_macbuf,42,16,1.9,741314.0,14.0708,0.008373,87337.76687423761,-96.25048695703182,True,2.52,False,24,13,"[[2, 8], [11, 2], [8, 7]]","[[6, 2]]"
custom_macbuf,42,19,0.6,486041.0,13.7414,0.006759,45142.575586626604,-1.436672340466478,True,2.49,False,11,18,"[[9, 4], [8, 4], [2, 4]]","[[3, 7]]"
custom_macbuf,42,15,1.0,505752.0,13.9127,0.006754,47523.6824936016,-6.787088394308059,True,3.74,False,14,14,"[[3, 6], [8, 4], [9, 7]]","[[4, 7]]"
custom_macbuf,42,14,1.6,798094.0,14.0815,0.00839,94289.84594579,-111.87200960393606,True,4.3,False,22,14,"[[6, 9], [2, 4], [9, 8]]","[[3, 2]]"
custom_macbuf,123,5,1.7,801059.0,14.0325,0.008589,96547.75012590749,-116.94558556894145,True,2.94,False,23,14,"[[3, 4], [5, 9], [9, 5]]","[[10, 4]]"
custom_macbuf,123,10,0.8,225399.0,13.3009,0.005164,15481.721363192402,65.21212454590695,True,2.09,False,9,11,"[[3, 4], [7, 5], [2, 5]]","[[1, 2]]"
custom_macbuf,42,18,0.9,464652.0,13.8956,0.006552,42303.763306022396,4.942220919426494,True,4.56,False,13,14,"[[11, 3], [5, 1], [11, 9]]","[[10, 5]]"
custom_macbuf,123,8,1.6,745793.0,13.8392,0.007769,80185.2356546264,-80.17854253869882,True,2.69,False,20,13,"[[4, 5], [2, 7], [1, 1]]","[[3, 6]]"
custom_macbuf,123,2,0.7,688430.0,13.9993,0.007916,76290.75159168399,-71.4275242661639,True,4.05,False,14,20,"[[6, 1], [12, 2], [5, 6]]","[[10, 6]]"
custom_macbuf,123,7,0.5,918535.0,14.2683,0.008823,115633.6463340315,-159.83214609033902,True,3.14,False,13,26,"[[10, 1], [3, 3], [6, 9]]","[[11, 1]]"
custom_macbuf,123,3,0.6,794839.0,13.9424,0.008173,90572.8858351328,-103.51989278411034,True,4.21,False,13,22,"[[11, 1], [11, 5], [9, 9]]","[[10, 4]]"
custom_macbuf,123,9,1.0,288148.0,13.4885,0.005531,21497.250852238,51.69505588499737,True,3.83,False,11,11,"[[8, 3], [6, 2], [3, 6]]","[[1, 2]]"
custom_macbuf,123,12,1.1,480970.0,14.0402,0.006474,43718.371671156,1.7635550289793918,True,3.08,False,14,13,"[[8, 1], [10, 8], [5, 8]]","[[12, 1]]"
custom_macbuf,42,7,0.2,2024410.0,14.2623,0.01597,461097.7016057101,-936.0998650811755,True,9.46,False,13,65,"[[10, 2], [3, 9], [7, 8]]","[[11, 3]]"
custom_macbuf,123,11,1.5,653904.0,14.2203,0.007579,70474.9310570448,-58.35920739906162,True,3.48,False,19,13,"[[12, 1], [2, 8], [8, 7]]","[[4, 1]]"
custom_macbuf,123,6,0.3,1636150.0,14.2037,0.01349,313499.28685495,-604.4419603097758,True,4.66,False,14,47,"[[5, 8], [12, 3], [9, 8]]","[[8, 4]]"
custom_macbuf,123,14,1.1,462195.0,13.6483,0.00694,43778.74156839,1.6279021247005394,True,4.25,False,15,14,"[[6, 5], [10, 9], [7, 2]]","[[4, 3]]"
custom_macbuf,123,15,1.8,708030.0,14.1727,0.008174,82023.61148789401,-84.30942618046078,True,4.1,False,23,13,"[[4, 3], [7, 2], [6, 8]]","[[12, 3]]"
custom_macbuf,123,18,1.4,616010.0,14.1249,0.007297,63491.778198752996,-42.66786105506205,True,3.51,False,18,13,"[[6, 7], [1, 2], [10, 3]]","[[4, 6]]"
custom_macbuf,123,4,0.1,2191290.0,13.8166,0.01557,471400.08233597997,-959.2496124069066,True,7.34,False,9,90,"[[4, 1], [3, 6], [4, 6]]","[[7, 2]]"
custom_macbuf,123,13,0.5,878842.0,14.1533,0.008847,110043.5375921742,-147.27101014657285,True,5.4,False,13,26,"[[11, 5], [3, 9], [9, 5]]","[[3, 2]]"
custom_macbuf,42,11,0.1,3911830.0,14.1316,0.02545,1406886.6082726,-3061.3148795571924,True,12.3,False,12,120,"[[2, 7], [10, 4], [9, 2]]","[[7, 4]]"
custom_macbuf,123,16,1.1,500206.0,13.9918,0.006912,48375.5833322496,-8.701334205796616,True,5.79,False,15,14,"[[5, 8], [8, 5], [12, 2]]","[[1, 7]]"
