circuit,seed,variant,draw_index,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,source
lenet,7,random,0,38,38,11196800.0,9.0535,0.05791,5870349.949808001,12.826548356876676,True,1082.69,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 2, 0]), circuit_index = position in the new-six list"
lenet,7,policy,0,38,38,11026200.0,8.9235,0.05793,5699865.689901001,15.358203456484937,True,1086.88,False,step 0 forced to 1.0; policy places H-blocks deterministically
lenet,7,random,1,38,38,11196800.0,8.86818,0.05831,5789905.31751744,14.021134083943835,True,1084.03,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 2, 1]), circuit_index = position in the new-six list"
lenet,7,random,2,41,41,13328100.0,8.57232,0.06626,7570386.432601919,-12.41863283189184,True,1100.02,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 2, 2]), circuit_index = position in the new-six list"
lenet,42,policy,0,38,38,11390000.0,8.62874,0.05902,5800565.194372001,13.862837173632187,True,1073.5,False,step 0 forced to 1.0; policy places H-blocks deterministically
lenet,42,random,0,38,38,11026200.0,8.84939,0.05804,5663261.3588047195,15.901770009421856,True,1062.3,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 2, 0]), circuit_index = position in the new-six list"
lenet,42,random,1,38,38,11600000.0,8.82126,0.05892,6029084.21472,10.469378190749623,True,1081.64,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 2, 1]), circuit_index = position in the new-six list"
lenet,42,random,2,38,38,11600000.0,8.8424,0.05886,6037378.502400001,10.34620977793458,True,1095.24,False,"AR 1.0 + uniform legal placement, numpy.default_rng([42, 2, 2]), circuit_index = position in the new-six list"
lenet,123,policy,0,38,38,11390000.0,8.91736,0.05854,5945833.477616001,11.705633979116577,True,1079.78,False,step 0 forced to 1.0; policy places H-blocks deterministically
lenet,123,random,0,39,39,12019100.0,8.79518,0.06091,6438805.110903581,4.385109784944491,True,1101.05,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 2, 0]), circuit_index = position in the new-six list"
lenet,123,random,1,38,38,11719700.0,9.02741,0.05894,6235765.76942438,7.4002009409100085,True,1071.67,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 2, 1]), circuit_index = position in the new-six list"
aes_inv_cipher,7,policy,0,30,30,4334440.0,7.4894,0.07847,2547320.99182792,11.145217484256293,True,42.28,False,step 0 forced to 1.0; policy places H-blocks deterministically
lenet,123,random,2,42,42,14415000.0,8.93014,0.06865,8837175.010065,-31.230174519138387,True,1076.7,False,"AR 1.0 + uniform legal placement, numpy.default_rng([123, 2, 2]), circuit_index = position in the new-six list"
aes_inv_cipher,7,random,0,34,34,5508160.0,7.00314,0.09213,3553860.9112917124,-23.96456488093812,True,46.73,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 3, 0]), circuit_index = position in the new-six list"
aes_inv_cipher,7,random,1,34,34,5637680.0,6.83607,0.09355,3605377.25225148,-25.7615403256002,True,44.18,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 3, 1]), circuit_index = position in the new-six list"
aes_inv_cipher,7,random,2,32,32,4964580.0,7.23216,0.08503,3052971.274994784,-6.492703329003763,True,41.87,False,"AR 1.0 + uniform legal placement, numpy.default_rng([7, 3, 2]), circuit_index = position in the new-six list"
