source_circuit,target_circuit,seed,source_aspect_ratio,target_grid_w,target_grid_h,n_blocks_transferred,n_blocks_random,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,vtr_seconds,cached,dsp_coords,bram_coords,source
reduction_layer,arm_core,42,0.9,35,35,24,0,8862970.0,19.2903,0.05828,9964093.729131479,13.117787122297145,True,220.92,False,[],"[[2, 8], [9, 3], [11, 6], [10, 3], [7, 12], [12, 7], [8, 2], [6, 12], [2, 15], [18, 13], [3, 7], [1, 3], [4, 14], [16, 5], [13, 12], [8, 13], [7, 5], [10, 14], [12, 15], [14, 16], [5, 2], [15, 10], [17, 13], [2, 2]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
mkDelayWorker32B,arm_core,42,0.9,35,35,24,0,8706360.0,18.8642,0.05862,9627661.82620944,16.05131514833981,True,258.53,False,[],"[[2, 7], [8, 3], [10, 5], [9, 3], [6, 10], [11, 6], [7, 2], [5, 10], [2, 13], [15, 12], [1, 2], [3, 6], [4, 13], [14, 5], [12, 10], [6, 4], [8, 12], [9, 13], [11, 13], [13, 14], [13, 8], [5, 2], [14, 12], [2, 1]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
mkDelayWorker32B,softmax,42,0.9,41,41,8,0,7429290.0,6.35448,0.07118,3360356.1745126555,6.096588565702491,True,261.25,False,"[[2, 8], [10, 4], [11, 6], [9, 4], [7, 12], [12, 7], [8, 2], [6, 12]]",[],data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
reduction_layer,softmax,42,0.9,41,41,8,0,7429290.0,6.36886,0.07132,3374584.816098408,5.698976552097465,True,258.69,False,"[[2, 9], [11, 4], [13, 7], [12, 4], [8, 14], [14, 8], [10, 2], [7, 14]]",[],data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
lightweight_cipher,arm_core,42,0.9,35,35,3,21,11485200.0,18.7121,0.07204,15482275.6746768,-34.99816516838397,True,273.08,False,[],"[[4, 4], [16, 4], [20, 4], [14, 29], [27, 15], [33, 4], [9, 30], [28, 28], [35, 18], [28, 18], [1, 3], [34, 18], [2, 5], [12, 2], [19, 16], [12, 16], [6, 1], [32, 10], [11, 7], [25, 18], [32, 17], [6, 17], [7, 12], [3, 13]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
custom_macbuf,softmax,42,0.8,41,41,4,4,11354500.0,6.36764,0.09682,7000218.4865516,-95.61747699794454,True,271.7,False,"[[23, 5], [8, 19], [5, 19], [19, 12], [11, 34], [8, 8], [25, 36], [41, 6]]",[],data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
softmax,arm_core,42,0.9,35,35,8,16,11682200.0,18.9842,0.06985,15491138.903614,-35.0754483578279,True,211.57,False,[],"[[2, 8], [10, 4], [11, 6], [9, 4], [7, 12], [12, 7], [6, 12], [8, 2], [16, 18], [27, 29], [33, 9], [11, 16], [29, 8], [35, 18], [28, 25], [1, 3], [34, 20], [2, 14], [13, 24], [20, 22], [14, 10], [5, 21], [32, 14], [13, 3]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
custom_macbuf,arm_core,42,0.8,35,35,4,20,12770100.0,19.0318,0.07498,18222988.428716403,-58.89589188656286,True,301.54,False,[],"[[20, 4], [7, 16], [4, 16], [16, 10], [15, 6], [27, 19], [33, 6], [10, 8], [29, 1], [35, 18], [28, 23], [1, 3], [34, 19], [2, 4], [12, 11], [19, 28], [12, 28], [5, 29], [32, 10], [11, 18], [25, 24], [32, 17], [6, 15], [7, 10]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
lightweight_cipher,softmax,42,0.9,41,41,3,5,10057500.0,6.38166,0.08861,5687303.9623245,-58.92876117619319,True,292.39,False,"[[5, 5], [19, 5], [23, 5], [11, 29], [8, 9], [25, 33], [41, 6], [30, 7]]",[],data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
arm_core,reduction_layer,42,0.9,42,42,24,8,11672500.0,7.9016,0.1452,13392003.0552,-15.2080053504005,True,287.07,False,[],"[[2, 11], [13, 5], [15, 8], [9, 17], [14, 5], [17, 9], [8, 17], [12, 2], [2, 22], [25, 19], [3, 9], [1, 3], [6, 20], [23, 7], [18, 17], [12, 19], [14, 20], [11, 7], [19, 22], [20, 23], [7, 2], [23, 14], [24, 19], [2, 2], [34, 37], [11, 14], [30, 30], [27, 4], [26, 20], [38, 7], [33, 4], [28, 17]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
arm_core,softmax,42,0.9,41,41,8,0,7251380.0,6.19073,0.07234,3247439.225073316,9.251994186550352,True,265.71,False,"[[2, 10], [13, 5], [15, 8], [9, 16], [14, 5], [16, 9], [8, 16], [12, 2]]",[],data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
lightweight_cipher,reduction_layer,42,0.9,42,42,3,29,14998400.0,7.24062,0.171,18570209.266368,-59.75479991300158,True,326.24,False,[],"[[5, 5], [20, 5], [23, 5], [33, 26], [10, 9], [28, 29], [24, 21], [23, 33], [37, 16], [31, 18], [26, 4], [30, 35], [36, 27], [26, 18], [19, 21], [6, 13], [17, 27], [3, 20], [27, 13], [42, 3], [14, 23], [40, 2], [40, 26], [38, 30], [27, 2], [29, 29], [6, 25], [33, 14], [31, 10], [30, 23], [35, 32], [37, 4]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
softmax,reduction_layer,42,0.9,42,42,8,24,13017000.0,7.72378,0.1568,15764741.659967998,-35.620073712875275,True,286.85,False,[],"[[2, 9], [11, 4], [13, 7], [12, 4], [8, 14], [14, 8], [7, 14], [10, 2], [33, 37], [10, 29], [29, 13], [25, 9], [24, 22], [37, 23], [31, 35], [26, 29], [31, 19], [36, 34], [27, 6], [20, 32], [6, 8], [19, 4], [3, 28], [27, 37], [42, 4], [16, 5], [40, 4], [40, 27], [38, 31], [27, 26], [30, 10], [6, 20]]",data_export3/tools/f1.py transfer_actions(); source floorplan from data_export/logs/det_actions_and_timing.json
