circuit,seed,variant,draw_index,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,cached,vtr_seconds,dsp_coords,bram_coords,clb_io_ratio,rule,source
custom_macbuf,,heuristic,0,0.5,10,20,528497.0,13.7468,0.006825,49584.597969270006,-11.418025045798192,True,False,5.49,"[[7, 6], [5, 6], [8, 6]]","[[6, 6]]",0.18181818181818182,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
lightweight_cipher,,heuristic,0,0.5,9,18,397084.0,3.45514,0.02202,30211.017474955202,15.063558085359862,True,False,2.83,[],"[[6, 6], [7, 6], [5, 6]]",0.1509433962264151,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
mkDelayWorker32B,,heuristic,0,0.5,34,68,6814460.0,6.7863,0.1779,8226980.1448542,2.9338648957121967,True,False,30.14,[],"[[24, 24], [25, 24], [23, 24], [26, 24], [22, 24], [27, 24], [21, 24], [28, 24], [20, 24], [29, 24], [19, 24], [24, 30], [25, 30], [30, 24], [23, 30], [26, 30], [22, 30], [27, 30], [18, 24], [21, 30], [24, 18], [25, 18], [28, 30], [31, 24], [23, 18], [26, 18], [22, 18], [27, 18], [20, 30], [29, 30], [21, 18], [28, 18], [17, 24], [32, 24], [19, 30], [30, 30], [20, 18], [29, 18], [16, 24], [18, 30], [19, 18], [30, 18], [31, 30]]",0.4381491973559962,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
arm_core,,heuristic,0,1.0,34,34,9242340.0,19.3864,0.06004,10757709.03856704,6.197834728052197,True,False,85.46,[],"[[18, 18], [17, 18], [19, 18], [16, 18], [20, 18], [15, 18], [21, 18], [14, 18], [22, 18], [13, 18], [23, 18], [12, 18], [18, 12], [18, 24], [24, 18], [17, 12], [17, 24], [19, 12], [19, 24], [16, 12], [16, 24], [20, 12], [20, 24], [15, 12]]",2.782051282051282,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
reduction_layer,,heuristic,0,1.0,34,34,10015200.0,7.51326,0.1407,10587224.9783664,8.92078900176788,True,False,109.84,[],"[[21, 21], [22, 21], [20, 21], [23, 21], [19, 21], [24, 21], [18, 21], [25, 21], [17, 21], [26, 21], [16, 21], [21, 27], [22, 27], [27, 21], [20, 27], [23, 27], [19, 27], [24, 27], [15, 21], [18, 27], [21, 15], [22, 15], [25, 27], [28, 21], [20, 15], [23, 15], [19, 15], [24, 15], [17, 27], [26, 27], [18, 15], [25, 15]]",13.851851851851851,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
softmax,,heuristic,0,1.0,38,38,7710970.0,6.42471,0.07122,3528291.935012814,1.4037107891182592,True,False,135.4,"[[21, 21], [20, 21], [22, 21], [19, 21], [23, 21], [18, 21], [24, 21], [17, 21]]",[],2.222826086956522,"AR = 0.5 if num_clbs_packed/num_io < 1 (IO-bound, elongate) else 1.0 (square); H-blocks in FPGAEnv order (BRAMs then DSPs by descending net count), each taking the legal action nearest the grid centre by Euclidean distance (ties -> lower action index).",data_export2/tools/e1b.py; clb/io from data_export/circuits.csv; evaluated through FPGAEnv (same bake/pin/VTR path as the policy)
