circuit,seed,step_index,step_kind,chosen_action,chosen_action_prob,top1_prob,entropy_over_legal_actions,n_legal_actions
reduction_layer,7,10,hblock,297,0.008889810182154179,0.008889810182154179,6.93049323602122,1455
reduction_layer,7,11,hblock,65,0.008700781501829624,0.008700781501829624,6.944188891186807,1449
reduction_layer,7,12,hblock,1024,0.008829919621348381,0.008829919621348381,6.947275623901507,1438
reduction_layer,7,13,hblock,401,0.008702277205884457,0.008702277205884457,6.951038278801001,1427
reduction_layer,7,14,hblock,965,0.008283060975372791,0.008283060975372791,6.958508113157,1416
reduction_layer,7,15,hblock,834,0.00838271714746952,0.00838271714746952,6.965189531122029,1405
reduction_layer,7,16,hblock,532,0.00813601166009903,0.00813601166009903,6.974126245541916,1394
reduction_layer,7,17,hblock,257,0.007459913846105337,0.007459913846105337,6.983654689684819,1384
reduction_layer,7,18,hblock,1012,0.007241134066134691,0.007241134066134691,6.985141697075163,1373
reduction_layer,7,19,hblock,578,0.007037218194454908,0.007037218194454908,6.992392451021431,1363
reduction_layer,7,20,hblock,768,0.0069182864390313625,0.0069182864390313625,7.004352190932622,1355
reduction_layer,7,21,hblock,387,0.006675684358924627,0.006675684358924627,7.007933062569709,1349
reduction_layer,7,22,hblock,541,0.006708884611725807,0.006708884611725807,7.011293995651313,1340
reduction_layer,7,23,hblock,206,0.006412277929484844,0.006412277929484844,7.015714017446692,1331
reduction_layer,7,24,hblock,155,0.006327474024146795,0.006327474024146795,7.016135879884658,1320
reduction_layer,7,25,hblock,97,0.006138106808066368,0.006138106808066368,7.0195103513602986,1309
reduction_layer,7,26,hblock,915,0.006167779676616192,0.006167779676616192,7.02309785638404,1302
reduction_layer,7,27,hblock,1073,0.005538306664675474,0.005538306664675474,7.027244549674403,1293
reduction_layer,7,28,hblock,54,0.005406948272138834,0.005406948272138834,7.0251252336356504,1282
reduction_layer,7,29,hblock,148,0.005283776205033064,0.005283776205033064,7.02618512149521,1271
reduction_layer,7,30,hblock,730,0.00428650202229619,0.00428650202229619,7.033040762962271,1265
reduction_layer,7,31,hblock,353,0.004302019253373146,0.004302019253373146,7.029132169747048,1254
reduction_layer,7,32,hblock,241,0.004178480710834265,0.004178480710834265,7.026961069950092,1243
arm_core,7,0,aspect_ratio,8,0.8885825276374817,0.8885825276374817,0.48252776185674334,20
arm_core,7,1,hblock,875,0.090228371322155,0.090228371322155,5.792047253579719,1050
arm_core,7,2,hblock,782,0.045408595353364944,0.045408595353364944,6.02216433799528,1039
arm_core,7,3,hblock,8,0.03353435918688774,0.03353435918688774,6.102500607873206,1028
arm_core,7,4,hblock,637,0.03292085602879524,0.03292085602879524,6.155930030811809,1017
arm_core,7,5,hblock,589,0.03123682551085949,0.03123682551085949,6.20309548221485,1006
arm_core,7,6,hblock,303,0.029096821323037148,0.029096821323037148,6.27103681564918,995
arm_core,7,7,hblock,682,0.02265339531004429,0.02265339531004429,6.331898903320922,984
arm_core,7,8,hblock,445,0.013808328658342361,0.013808328658342361,6.364400011611504,973
arm_core,7,9,hblock,496,0.013348579406738281,0.013348579406738281,6.380393454435988,962
arm_core,7,10,hblock,297,0.013036797754466534,0.013036797754466534,6.384072091876002,951
arm_core,7,11,hblock,65,0.012416252866387367,0.012416252866387367,6.398356001546796,945
arm_core,7,12,hblock,1024,0.012529888190329075,0.012529888190329075,6.398249654749089,934
arm_core,7,13,hblock,401,0.012555290944874287,0.012555290944874287,6.398969606596955,923
arm_core,7,14,hblock,965,0.011537325568497181,0.011537325568497181,6.404524870364309,912
arm_core,7,15,hblock,834,0.011375759728252888,0.011375759728252888,6.407722073165017,901
arm_core,7,16,hblock,257,0.010917825624346733,0.010917825624346733,6.414590396882714,890
arm_core,7,17,hblock,532,0.012014334090054035,0.012014334090054035,6.406953819585534,879
arm_core,7,18,hblock,1012,0.010715608485043049,0.010715608485043049,6.414734774405457,869
arm_core,7,19,hblock,578,0.010464274324476719,0.010464274324476719,6.4210774249914095,859
arm_core,7,20,hblock,768,0.010302814655005932,0.010302814655005932,6.433028791717322,851
arm_core,7,21,hblock,387,0.010238190181553364,0.010238190181553364,6.435669417110839,845
arm_core,7,22,hblock,541,0.010360077023506165,0.010360077023506165,6.437140684175162,836
arm_core,7,23,hblock,206,0.010084453038871288,0.010084453038871288,6.440785294060168,827
arm_core,7,24,hblock,155,0.009887916035950184,0.009887916035950184,6.43890326772973,816
softmax,7,0,aspect_ratio,8,0.9031282067298889,0.9031282067298889,0.5095045664292431,20
softmax,7,1,hblock,875,0.07575955241918564,0.07575955241918564,6.387415300566462,1558
softmax,7,2,hblock,782,0.03721289709210396,0.03721289709210396,6.615269470728329,1551
softmax,7,3,hblock,8,0.02264982834458351,0.02264982834458351,6.7018001787223405,1544
softmax,7,4,hblock,303,0.01972857303917408,0.01972857303917408,6.743426407713267,1537
softmax,7,5,hblock,637,0.020196355879306793,0.020196355879306793,6.776370063092482,1530
softmax,7,6,hblock,682,0.017743516713380814,0.017743516713380814,6.810713930712104,1523
softmax,7,7,hblock,589,0.01775476709008217,0.01775476709008217,6.841085549754099,1516
softmax,7,8,hblock,298,0.01057420764118433,0.01057420764118433,6.8940154759781285,1509
custom_macbuf,42,0,aspect_ratio,7,0.8937100172042847,0.8937100172042847,0.48971431520939557,20
custom_macbuf,42,1,hblock,289,0.39597558975219727,0.39597558975219727,2.2795922054511273,84
custom_macbuf,42,2,hblock,101,0.3342786729335785,0.3342786729335785,2.3770441288081874,101
custom_macbuf,42,3,hblock,53,0.18056310713291168,0.18056310713291168,2.496551260904761,94
custom_macbuf,42,4,hblock,243,0.2275589108467102,0.2275589108467102,2.3559483071719307,87
mkDelayWorker32B,42,0,aspect_ratio,8,0.9519575238227844,0.9519575238227844,0.2637330912641776,20
mkDelayWorker32B,42,1,hblock,56,0.020419741049408913,0.020419741049408913,7.006691777091913,2064
mkDelayWorker32B,42,2,hblock,483,0.017829975113272667,0.017829975113272667,7.049314116398378,2053
mkDelayWorker32B,42,3,hblock,582,0.016881676390767097,0.016881676390767097,7.10082186206421,2044
mkDelayWorker32B,42,4,hblock,531,0.011901049874722958,0.011901049874722958,7.1339883735676315,2033
mkDelayWorker32B,42,5,hblock,349,0.011991085484623909,0.011991085484623909,7.166296101638121,2024
mkDelayWorker32B,42,6,hblock,631,0.011577095836400986,0.011577095836400986,7.1856818224778385,2013
mkDelayWorker32B,42,7,hblock,433,0.011004438623785973,0.011004438623785973,7.232189471634069,2002
mkDelayWorker32B,42,8,hblock,301,0.011151010170578957,0.011151010170578957,7.252532931295113,1995
mkDelayWorker32B,42,9,hblock,65,0.011039047501981258,0.011039047501981258,7.2664873345651095,1984
mkDelayWorker32B,42,10,hblock,975,0.010044829919934273,0.010044829919934273,7.28304575315895,1975
mkDelayWorker32B,42,11,hblock,2,0.009681922383606434,0.009681922383606434,7.308058489374317,1964
mkDelayWorker32B,42,12,hblock,103,0.009815417230129242,0.009815417230129242,7.321817478016444,1956
mkDelayWorker32B,42,13,hblock,208,0.008816915564239025,0.008816915564239025,7.336153352468594,1945
mkDelayWorker32B,42,14,hblock,869,0.008750361390411854,0.008750361390411854,7.348817212449463,1934
mkDelayWorker32B,42,15,hblock,685,0.005756187252700329,0.005756187252700329,7.365184365442648,1923
mkDelayWorker32B,42,16,hblock,389,0.005540447309613228,0.005540447309613228,7.368944190523432,1912
mkDelayWorker32B,42,17,hblock,447,0.005617993418127298,0.005617993418127298,7.3748527960739025,1901
mkDelayWorker32B,42,18,hblock,544,0.005624204874038696,0.005624204874038696,7.378545964484589,1890
mkDelayWorker32B,42,19,hblock,737,0.005225012078881264,0.005225012078881264,7.385764596819161,1879
mkDelayWorker32B,42,20,hblock,786,0.004924084525555372,0.004924084525555372,7.386920747781538,1868
mkDelayWorker32B,42,21,hblock,875,0.00461508659645915,0.00461508659645915,7.391908735091636,1857
mkDelayWorker32B,42,22,hblock,241,0.004537094850093126,0.004537094850093126,7.39385614086871,1851
mkDelayWorker32B,42,23,hblock,927,0.004349625203758478,0.004349625203758478,7.40034192173888,1844
mkDelayWorker32B,42,24,hblock,49,0.004260163754224777,0.004260163754224777,7.4048113079165985,1833
mkDelayWorker32B,42,25,hblock,339,0.003998925909399986,0.003998925909399986,7.407920744395417,1830
mkDelayWorker32B,42,26,hblock,914,0.0034559022169560194,0.0034559022169560194,7.410277608156466,1822
mkDelayWorker32B,42,27,hblock,624,0.0034443174954503775,0.0034443174954503775,7.409250372582569,1814
mkDelayWorker32B,42,28,hblock,253,0.0032374667935073376,0.0032374667935073376,7.411394442122898,1812
mkDelayWorker32B,42,29,hblock,291,0.003188598668202758,0.003188598668202758,7.410129380404231,1801
mkDelayWorker32B,42,30,hblock,830,0.0031822186429053545,0.0031822186429053545,7.408803950955203,1793
mkDelayWorker32B,42,31,hblock,192,0.0031995100434869528,0.0031995100434869528,7.407801714973547,1782
mkDelayWorker32B,42,32,hblock,201,0.0027368541341274977,0.0027368541341274977,7.407445892770297,1776
mkDelayWorker32B,42,33,hblock,145,0.002754183718934655,0.002754183718934655,7.408609497359523,1771
mkDelayWorker32B,42,34,hblock,109,0.0026300905738025904,0.0026300905738025904,7.4073277641329405,1764
mkDelayWorker32B,42,35,hblock,576,0.0024329267907887697,0.0024329267907887697,7.4076307125698335,1758
mkDelayWorker32B,42,36,hblock,309,0.0024248685222119093,0.0024248685222119093,7.408579508338056,1757
mkDelayWorker32B,42,37,hblock,496,0.0023807440884411335,0.0023807440884411335,7.405679308198523,1749
mkDelayWorker32B,42,38,hblock,1015,0.0020953393541276455,0.0020953393541276455,7.40173227985518,1738
mkDelayWorker32B,42,39,hblock,160,0.0021016718819737434,0.0021016718819737434,7.397362745251188,1727
mkDelayWorker32B,42,40,hblock,153,0.0020812072325497866,0.0020812072325497866,7.393211086784078,1716
mkDelayWorker32B,42,41,hblock,969,0.0016771306982263923,0.0016771306982263923,7.393113251004014,1712
mkDelayWorker32B,42,42,hblock,642,0.001605110359378159,0.001605110359378159,7.390441338936826,1706
mkDelayWorker32B,42,43,hblock,441,0.001476243487559259,0.001476243487559259,7.38492779561821,1695
lightweight_cipher,42,0,aspect_ratio,8,0.6553968787193298,0.6553968787193298,0.8023580721733181,20
lightweight_cipher,42,1,hblock,49,0.21347463130950928,0.21347463130950928,3.1541716372219977,84
lightweight_cipher,42,2,hblock,241,0.21675828099250793,0.21675828099250793,3.260129227745893,77
lightweight_cipher,42,3,hblock,289,0.14368268847465515,0.14368268847465515,3.3863856120069444,70
reduction_layer,42,0,aspect_ratio,8,0.9492493867874146,0.9492493867874146,0.2653747289970244,20
reduction_layer,42,1,hblock,56,0.0254839938133955,0.0254839938133955,6.5851319356762845,1554
reduction_layer,42,2,hblock,483,0.022069934755563736,0.022069934755563736,6.631941268510077,1543
reduction_layer,42,3,hblock,582,0.020957499742507935,0.020957499742507935,6.687304263627164,1534
reduction_layer,42,4,hblock,531,0.014904438517987728,0.014904438517987728,6.721745328273638,1523
reduction_layer,42,5,hblock,349,0.015508041717112064,0.015508041717112064,6.755184862124358,1514
reduction_layer,42,6,hblock,631,0.014734406024217606,0.014734406024217606,6.775863017972123,1503
reduction_layer,42,7,hblock,433,0.014346619136631489,0.014346619136631489,6.8266952192158,1492
reduction_layer,42,8,hblock,301,0.014721854589879513,0.014721854589879513,6.8492095626246,1485
reduction_layer,42,9,hblock,65,0.014586991630494595,0.014586991630494595,6.864896512868422,1474
reduction_layer,42,10,hblock,975,0.013342995196580887,0.013342995196580887,6.884181519831536,1465
reduction_layer,42,11,hblock,103,0.013093635439872742,0.013093635439872742,6.913676825684068,1454
reduction_layer,42,12,hblock,2,0.012868151068687439,0.012868151068687439,6.9295784468663975,1443
reduction_layer,42,13,hblock,208,0.011916130781173706,0.011916130781173706,6.946030284454254,1435
reduction_layer,42,14,hblock,869,0.012011279352009296,0.012011279352009296,6.961474988723748,1424
reduction_layer,42,15,hblock,685,0.008166704326868057,0.008166704326868057,6.981991177182441,1413
reduction_layer,42,16,hblock,447,0.007635130081325769,0.007635130081325769,6.986546231350729,1402
reduction_layer,42,17,hblock,389,0.007669844664633274,0.007669844664633274,6.990048407493015,1391
reduction_layer,42,18,hblock,544,0.007826467975974083,0.007826467975974083,6.997007779133731,1380
reduction_layer,42,19,hblock,737,0.007466556970030069,0.007466556970030069,7.006061857977278,1369
reduction_layer,42,20,hblock,786,0.006869031582027674,0.006869031582027674,7.007496994199162,1358
reduction_layer,42,21,hblock,241,0.006599754095077515,0.006599754095077515,7.013862804943672,1347
reduction_layer,42,22,hblock,875,0.006665058434009552,0.006665058434009552,7.022347938227689,1340
reduction_layer,42,23,hblock,927,0.006247788202017546,0.006247788202017546,7.025050036935283,1334
reduction_layer,42,24,hblock,49,0.006356691941618919,0.006356691941618919,7.031404317679208,1323
reduction_layer,42,25,hblock,339,0.005818098317831755,0.005818098317831755,7.036214052924947,1320
reduction_layer,42,26,hblock,914,0.004946656990796328,0.004946656990796328,7.03956261722778,1312
reduction_layer,42,27,hblock,624,0.004822734277695417,0.004822734277695417,7.037995459884566,1304
reduction_layer,42,28,hblock,291,0.00472581060603261,0.00472581060603261,7.040754618232661,1302
reduction_layer,42,29,hblock,253,0.0047717285342514515,0.0047717285342514515,7.038915126978374,1294
reduction_layer,42,30,hblock,830,0.004698794335126877,0.004698794335126877,7.037323564180915,1283
reduction_layer,42,31,hblock,192,0.004672020208090544,0.004672020208090544,7.036129640383944,1272
reduction_layer,42,32,hblock,145,0.0040253205224871635,0.0040253205224871635,7.035658462516007,1266
arm_core,42,0,aspect_ratio,8,0.9471213221549988,0.9471213221549988,0.2686994054652488,20
arm_core,42,1,hblock,56,0.033320166170597076,0.033320166170597076,5.997515974306218,1050
arm_core,42,2,hblock,483,0.028692226856946945,0.028692226856946945,6.045366428740232,1039
arm_core,42,3,hblock,582,0.027357516810297966,0.027357516810297966,6.099695763441683,1030
arm_core,42,4,hblock,349,0.02030385099351406,0.02030385099351406,6.130334617556402,1019
arm_core,42,5,hblock,531,0.020483732223510742,0.020483732223510742,6.144042421510594,1008
arm_core,42,6,hblock,631,0.019984718412160873,0.019984718412160873,6.17665253504639,999
arm_core,42,7,hblock,301,0.02028592862188816,0.02028592862188816,6.226392710585358,988
arm_core,42,8,hblock,433,0.02074822224676609,0.02074822224676609,6.239393985367737,977
arm_core,42,9,hblock,65,0.020943181589245796,0.020943181589245796,6.263461609081677,970
arm_core,42,10,hblock,975,0.0193267110735178,0.0193267110735178,6.284166551467367,961
arm_core,42,11,hblock,103,0.019476210698485374,0.019476210698485374,6.316552615628721,950
arm_core,42,12,hblock,2,0.018522171303629875,0.018522171303629875,6.332992675649388,939
arm_core,42,13,hblock,208,0.017846401780843735,0.017846401780843735,6.349869955822296,931
arm_core,42,14,hblock,869,0.018355906009674072,0.018355906009674072,6.3676263866769105,920
arm_core,42,15,hblock,685,0.012996059842407703,0.012996059842407703,6.392431263627939,909
arm_core,42,16,hblock,447,0.011856995522975922,0.011856995522975922,6.396520479960724,898
arm_core,42,17,hblock,544,0.011830946430563927,0.011830946430563927,6.405904309538299,887
arm_core,42,18,hblock,389,0.0122255589812994,0.0122255589812994,6.413701599338136,876
arm_core,42,19,hblock,737,0.011826123110949993,0.011826123110949993,6.421502963879561,865
arm_core,42,20,hblock,786,0.010931714437901974,0.010931714437901974,6.421325108260035,854
arm_core,42,21,hblock,241,0.010655898600816727,0.010655898600816727,6.428366632534312,843
arm_core,42,22,hblock,875,0.010844687931239605,0.010844687931239605,6.438860483240488,836
arm_core,42,23,hblock,927,0.01024689432233572,0.01024689432233572,6.441693941398155,830
arm_core,42,24,hblock,49,0.010606983676552773,0.010606983676552773,6.449156074061399,819
softmax,42,0,aspect_ratio,8,0.9495791792869568,0.9495791792869568,0.2651023779771315,20
softmax,42,1,hblock,56,0.024390533566474915,0.024390533566474915,6.619487662180643,1558
softmax,42,2,hblock,483,0.021632280200719833,0.021632280200719833,6.663424503476924,1551
softmax,42,3,hblock,582,0.02030075155198574,0.02030075155198574,6.718966957289698,1544
softmax,42,4,hblock,531,0.01433658692985773,0.01433658692985773,6.754956821500203,1537
softmax,42,5,hblock,349,0.014647269621491432,0.014647269621491432,6.788464740889095,1530
softmax,42,6,hblock,631,0.013851304538547993,0.013851304538547993,6.810231768460492,1523
softmax,42,7,hblock,301,0.013368290849030018,0.013368290849030018,6.840848644948331,1516
softmax,42,8,hblock,433,0.013406061567366123,0.013406061567366123,6.85711041887812,1509
custom_macbuf,123,0,aspect_ratio,7,0.9668912291526794,0.9668912291526794,0.20300022499633352,20
custom_macbuf,123,1,hblock,195,0.4290201961994171,0.4290201961994171,1.8385889872801495,84
custom_macbuf,123,2,hblock,50,0.29517629742622375,0.29517629742622375,1.9869752700483168,99
custom_macbuf,123,3,hblock,242,0.3926767110824585,0.3926767110824585,1.6764543190358812,93
custom_macbuf,123,4,hblock,99,0.4522975981235504,0.4522975981235504,1.5725720286044742,87
mkDelayWorker32B,123,0,aspect_ratio,8,0.6677916646003723,0.6677916646003723,1.434834480515678,20
mkDelayWorker32B,123,1,hblock,817,0.008683142252266407,0.008683142252266407,7.378682966714811,2064
mkDelayWorker32B,123,2,hblock,828,0.006516760215163231,0.006516760215163231,7.399607828596029,2057
mkDelayWorker32B,123,3,hblock,532,0.006333282683044672,0.006333282683044672,7.405009912263391,2046
mkDelayWorker32B,123,4,hblock,8,0.005916702561080456,0.005916702561080456,7.412786993034793,2036
mkDelayWorker32B,123,5,hblock,303,0.004584193229675293,0.004584193229675293,7.421370008137735,2025
mkDelayWorker32B,123,6,hblock,483,0.0045982347801327705,0.0045982347801327705,7.42229254812365,2014
mkDelayWorker32B,123,7,hblock,577,0.004419703967869282,0.004419703967869282,7.424296370915501,2005
mkDelayWorker32B,123,8,hblock,398,0.0043984525837004185,0.0043984525837004185,7.426041397680886,1998
mkDelayWorker32B,123,9,hblock,546,0.004037713166326284,0.004037713166326284,7.436499727426056,1987
mkDelayWorker32B,123,10,hblock,496,0.0037479924503713846,0.0037479924503713846,7.436373103340725,1976
mkDelayWorker32B,123,11,hblock,105,0.0036869237665086985,0.0036869237665086985,7.437321319443332,1965
mkDelayWorker32B,123,12,hblock,584,0.003697380656376481,0.003697380656376481,7.436823072763957,1954
mkDelayWorker32B,123,13,hblock,966,0.003596113994717598,0.003596113994717598,7.442285722572418,1947
mkDelayWorker32B,123,14,hblock,440,0.003644126933068037,0.003644126933068037,7.444005995567371,1936
mkDelayWorker32B,123,15,hblock,879,0.003645809832960367,0.003645809832960367,7.4447946484455745,1925
mkDelayWorker32B,123,16,hblock,489,0.0036020935513079166,0.0036020935513079166,7.444466802041816,1914
mkDelayWorker32B,123,17,hblock,57,0.0033988477662205696,0.0033988477662205696,7.446988258633517,1912
mkDelayWorker32B,123,18,hblock,634,0.003281119279563427,0.003281119279563427,7.445102749972732,1901
mkDelayWorker32B,123,19,hblock,386,0.003015026682987809,0.003015026682987809,7.444598098164723,1890
mkDelayWorker32B,123,20,hblock,676,0.0029262900352478027,0.0029262900352478027,7.443206078613122,1882
mkDelayWorker32B,123,21,hblock,348,0.00279923714697361,0.00279923714697361,7.443319849494496,1872
mkDelayWorker32B,123,22,hblock,872,0.0026518860831856728,0.0026518860831856728,7.44157509447602,1861
mkDelayWorker32B,123,23,hblock,392,0.002647732850164175,0.002647732850164175,7.440403815670182,1854
mkDelayWorker32B,123,24,hblock,683,0.002628132700920105,0.002628132700920105,7.44174733859104,1853
mkDelayWorker32B,123,25,hblock,203,0.002561790868639946,0.002561790868639946,7.441885514827364,1846
mkDelayWorker32B,123,26,hblock,255,0.0025559281930327415,0.0025559281930327415,7.441659193556803,1835
mkDelayWorker32B,123,27,hblock,339,0.002561083994805813,0.002561083994805813,7.4386941783363305,1824
mkDelayWorker32B,123,28,hblock,780,0.002530117519199848,0.002530117519199848,7.43674718725965,1817
mkDelayWorker32B,123,29,hblock,248,0.0025442084297537804,0.0025442084297537804,7.433010990990208,1806
mkDelayWorker32B,123,30,hblock,725,0.0025049333926290274,0.0025049333926290274,7.431100768331008,1799
mkDelayWorker32B,123,31,hblock,626,0.0025342213921248913,0.0025342213921248913,7.429252847769556,1788
mkDelayWorker32B,123,32,hblock,113,0.002549566328525543,0.002549566328525543,7.430073619600468,1783
mkDelayWorker32B,123,33,hblock,930,0.002520743990316987,0.002520743990316987,7.42772707867803,1775
mkDelayWorker32B,123,34,hblock,153,0.0024845972657203674,0.0024845972657203674,7.425843653389884,1764
mkDelayWorker32B,123,35,hblock,976,0.0023980990517884493,0.0023980990517884493,7.424784626396811,1753
mkDelayWorker32B,123,36,hblock,1070,0.002365159336477518,0.002365159336477518,7.421752886880162,1743
mkDelayWorker32B,123,37,hblock,196,0.002291665878146887,0.002291665878146887,7.417494969355982,1732
mkDelayWorker32B,123,38,hblock,434,0.0020442602690309286,0.0020442602690309286,7.41611173674222,1726
mkDelayWorker32B,123,39,hblock,768,0.0019672696944326162,0.0019672696944326162,7.416018498511206,1723
mkDelayWorker32B,123,40,hblock,538,0.0017873846227303147,0.0017873846227303147,7.414883450569398,1717
mkDelayWorker32B,123,41,hblock,1022,0.0017611843068152666,0.0017611843068152666,7.413854823005255,1714
mkDelayWorker32B,123,42,hblock,921,0.0017684540944173932,0.0017684540944173932,7.409033241916306,1703
