circuit,seed,variant,draw_index,aspect_ratio,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct,vtr_success,cached,vtr_seconds,dsp_coords,bram_coords,source
reduction_layer,123,fixed_ar_random_blocks,2,1.0,44,44,12716800.0,7.16007,0.1663,15142143.5306688,-30.264019930943093,True,False,165.6,[],"[[14, 19], [4, 20], [18, 36], [25, 27], [30, 3], [35, 10], [26, 33], [23, 35], [9, 11], [29, 30], [36, 24], [4, 1], [9, 5], [42, 35], [7, 32], [1, 28], [11, 29], [19, 27], [5, 35], [42, 13], [3, 12], [34, 19], [5, 26], [39, 5], [29, 36], [36, 2], [14, 11], [29, 14], [13, 18], [5, 8], [21, 23], [1, 9]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
softmax,42,fixed_ar_random_blocks,2,1.0,41,41,8516790.0,6.64886,0.07687,4352913.212907078,-21.639903373839154,True,False,338.17,"[[9, 16], [21, 8], [16, 19], [36, 20], [19, 18], [6, 21], [21, 36], [16, 6]]",[],data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
reduction_layer,123,policy_ar_random_blocks,1,0.9,43,48,13608600.0,7.92152,0.1574,16967845.4591328,-45.970070525147946,True,False,219.14,[],"[[21, 35], [33, 24], [24, 25], [32, 14], [17, 19], [17, 3], [9, 32], [13, 36], [37, 25], [39, 20], [10, 26], [1, 37], [37, 37], [37, 5], [16, 37], [13, 3], [38, 8], [9, 10], [6, 12], [16, 17], [8, 9], [41, 33], [20, 20], [26, 32], [29, 26], [34, 33], [5, 13], [39, 3], [38, 16], [4, 27], [7, 4], [31, 26]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
reduction_layer,123,fixed_ar_random_blocks,0,1.0,44,44,12537100.0,7.1833,0.1622,14607367.119746001,-25.663474115883783,True,False,260.66,[],"[[6, 37], [18, 28], [39, 25], [8, 37], [16, 16], [18, 19], [30, 29], [31, 21], [36, 1], [37, 14], [36, 18], [7, 16], [2, 35], [40, 4], [14, 26], [34, 16], [35, 20], [12, 35], [10, 27], [14, 17], [38, 5], [13, 1], [30, 8], [3, 31], [29, 30], [6, 17], [35, 34], [17, 34], [26, 33], [15, 30], [21, 15], [30, 16]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
reduction_layer,123,policy_ar_random_blocks,2,0.9,44,49,14044000.0,7.48077,0.1659,17429443.030692,-49.94107734725846,True,False,255.42,[],"[[14, 19], [4, 20], [18, 36], [25, 27], [30, 3], [35, 10], [26, 33], [23, 35], [9, 11], [29, 30], [36, 24], [4, 1], [9, 5], [42, 35], [7, 32], [1, 28], [11, 29], [19, 27], [5, 35], [42, 13], [3, 12], [34, 19], [5, 26], [39, 5], [29, 36], [36, 2], [14, 11], [29, 14], [13, 18], [5, 8], [21, 23], [1, 9]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
reduction_layer,123,fixed_ar_policy_blocks,0,1.0,33,33,8237060.0,7.63054,0.1311,8240056.5930056395,29.112883252667444,True,False,270.56,[],"[[18, 2], [12, 5], [18, 13], [1, 9], [7, 16], [9, 15], [12, 19], [11, 4], [11, 17], [21, 7], [13, 2], [19, 16], [13, 9], [10, 14], [2, 10], [3, 10], [11, 10], [5, 17], [9, 3], [19, 9], [15, 5], [8, 13], [8, 4], [6, 16], [20, 19], [15, 11], [14, 11], [6, 9], [9, 9], [3, 18], [21, 17], [5, 5]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
reduction_layer,123,policy_ar_random_blocks,0,0.9,42,47,12796400.0,7.18766,0.1631,15001313.722354399,-29.052496812041063,True,False,295.94,[],"[[6, 37], [18, 28], [39, 25], [8, 37], [16, 16], [18, 19], [30, 29], [31, 21], [36, 1], [37, 14], [36, 18], [7, 16], [2, 35], [40, 4], [14, 26], [34, 16], [35, 20], [12, 35], [10, 27], [14, 17], [38, 5], [13, 1], [30, 8], [3, 31], [29, 30], [6, 17], [35, 34], [17, 34], [26, 33], [15, 30], [21, 15], [30, 16]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
arm_core,123,fixed_ar_random_blocks,0,1.0,36,36,10294000.0,19.4982,0.06508,13062497.759664001,-13.89883936474852,True,False,281.95,[],"[[30, 13], [6, 28], [31, 16], [25, 8], [21, 23], [32, 13], [10, 28], [20, 14], [11, 12], [7, 23], [16, 13], [34, 13], [4, 17], [23, 17], [31, 4], [19, 12], [23, 9], [28, 2], [19, 25], [30, 1], [12, 17], [20, 6], [23, 28], [23, 2]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
arm_core,123,fixed_ar_policy_blocks,0,1.0,34,34,9241200.0,19.2111,0.06048,10737233.175513599,6.376374627517676,True,False,188.08,[],"[[18, 2], [12, 5], [1, 9], [7, 16], [9, 15], [18, 13], [12, 19], [21, 7], [11, 17], [19, 16], [11, 4], [10, 14], [13, 2], [13, 9], [5, 17], [2, 10], [3, 15], [19, 9], [8, 4], [20, 19], [6, 16], [8, 18], [9, 3], [14, 15]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
arm_core,123,fixed_ar_random_blocks,2,1.0,37,37,10781100.0,19.959,0.06614,14232003.539886001,-24.096379946074283,True,False,231.74,[],"[[23, 28], [28, 30], [19, 7], [1, 23], [31, 27], [9, 26], [20, 20], [29, 2], [28, 24], [18, 5], [3, 9], [24, 28], [26, 30], [34, 20], [9, 5], [14, 18], [23, 16], [22, 11], [29, 21], [27, 13], [15, 25], [23, 7], [7, 20], [21, 9]]",data_export2/tools/e2.py; actions in data_export2/logs/e2_actions.json
